,Fiscal Year,Amount
0,1999,247022481.9700001
1,2000,265107153.82999998
2,2001,288534061.99999976
3,2002,291171721.1099998
4,2003,309502444.9399998
5,2004,293262718.1299998
6,2005,311464150.0700001
7,2006,342616136.29000056
8,2007,369588974.3499998
9,2008,408763206.75999993
10,2009,426146834.7100003
11,2010,443087861.1999997
12,2011,448718777.64000016
13,2012,469656167.6400002
14,2013,498854658.96999955
15,2014,508885827.2799999
16,2015,519438259.8700001
17,2016,550224385.8100001
18,2017,574011035.6799995
