source,https://oaklandca.nextrequest.com/requests/21-3322,
,,
race/ethnicity,year,number
Asian,2016,89
Black ,2016,137
Filipino,2016,15
Hispanic,2016,169
Native American,2016,2
Undeclared-Unknown ,2016,8
Unknown,2016,12
White,2016,289
Grand total ,2016,721
Asian,2017,96
Black ,2017,134
Filipino,2017,16
Hispanic,2017,177
Native American,2017,3
Undeclared-Unknown ,2017,12
Unknown,2017,11
White,2017,295
Grand total ,2017,744
Asian,2018,96
Black ,2018,129
Filipino,2018,18
Hispanic,2018,184
Native American,2018,4
Undeclared-Unknown ,2018,15
Unknown,2018,11
White,2018,290
Grand total ,2018,747
Asian,2019,99
Black ,2019,126
Filipino,2019,24
Hispanic,2019,195
Native American,2019,3
Undeclared-Unknown ,2019,17
Unknown,2019,1
White,2019,285
Grand total ,2019,750
Asian,2020,97
Black ,2020,123
Filipino,2020,27
Hispanic,2020,196
Native American,2020,3
Undeclared-Unknown ,2020,18
Unknown,2020,0
White,2020,266
Grand total ,2020,730
